iso_code,location,total_deaths,population,gdp_per_capita,median_age
AFG,Afghanistan,2407.0,38928341.0,1803.987,18.6
ALB,Albania,1418.0,2877800.0,11803.431,38.0
DZA,Algeria,2904.0,43851043.0,13913.839,29.1
AGO,Angola,473.0,32866268.0,5819.495,16.8
ATG,Antigua and Barbuda,7.0,97928.0,21490.943,32.1
ARG,Argentina,48700.0,45195777.0,18933.907,31.9
ARM,Armenia,3107.0,2963234.0,8787.58,35.7
AUS,Australia,909.0,25499881.0,44648.71,37.9
AUT,Austria,7936.0,9006400.0,45436.685999999994,44.4
AZE,Azerbaijan,3148.0,10139175.0,15847.419,32.4
BHS,Bahamas,176.0,393248.0,27717.847,34.3
BHR,Bahrain,377.0,1701583.0,43290.705,32.4
BGD,Bangladesh,8175.0,164689383.0,3523.9840000000004,27.5
BRB,Barbados,15.0,287371.0,16978.068,39.8
BLR,Belarus,1755.0,9449321.0,17167.967,40.3
BEL,Belgium,21260.0,11589616.0,42658.575999999994,41.8
BLZ,Belize,306.0,397621.0,7824.361999999999,25.0
BEN,Benin,54.0,12123198.0,2064.236,18.8
BTN,Bhutan,1.0,771612.0,8708.597,28.6
BOL,Bolivia,10633.0,11673029.0,6885.829000000001,25.4
BIH,Bosnia and Herzegovina,4745.0,3280815.0,11713.895,42.5
BWA,Botswana,163.0,2351625.0,15807.374,25.8
BRA,Brazil,228795.0,212559409.0,14103.452,33.5
BRN,Brunei,3.0,437483.0,71809.25099999999,32.4
BGR,Bulgaria,9272.0,6948445.0,18563.307,44.7
BFA,Burkina Faso,132.0,20903278.0,1703.102,17.6
BDI,Burundi,2.0,11890781.0,702.225,17.5
CMR,Cameroon,474.0,26545864.0,3364.926,18.8
CAN,Canada,20486.0,37742157.0,44017.59099999999,41.4
CPV,Cape Verde,135.0,555988.0,6222.554,25.7
CAF,Central African Republic,63.0,4829764.0,661.24,18.3
TCD,Chad,121.0,16425859.0,1768.1529999999998,16.7
CHL,Chile,18731.0,19116209.0,22767.037,35.4
CHN,China,4822.0,1439323774.0,15308.712,38.7
COL,Colombia,55131.0,50882884.0,13254.948999999999,32.2
COM,Comoros,105.0,869595.0,1413.89,20.4
COG,Congo,122.0,5518092.0,4881.406,19.0
CRI,Costa Rica,2662.0,5094114.0,15524.995,33.6
CIV,Cote d'Ivoire,158.0,26378275.0,3601.006,18.7
HRV,Croatia,5106.0,4105268.0,22669.797000000002,44.0
CYP,Cyprus,208.0,875899.0,32415.132,37.3
CZE,Czechia,16826.0,10708982.0,32605.906000000003,43.3
COD,Democratic Republic of Congo,678.0,89561404.0,808.133,17.0
DNK,Denmark,2185.0,5792203.0,46682.515,42.3
DJI,Djibouti,63.0,988002.0,2705.406,25.4
DOM,Dominican Republic,2747.0,10847904.0,14600.861,27.6
ECU,Ecuador,14968.0,17643060.0,10581.936000000002,28.1
EGY,Egypt,9512.0,102334403.0,10550.206,25.3
SLV,El Salvador,1653.0,6486201.0,7292.4580000000005,27.6
GNQ,Equatorial Guinea,86.0,1402985.0,22604.873,22.4
ERI,Eritrea,7.0,3546427.0,1510.4589999999998,19.3
EST,Estonia,443.0,1326539.0,29481.252,42.7
SWZ,Eswatini,591.0,1160164.0,7738.975,21.5
ETH,Ethiopia,2126.0,114963583.0,1729.9270000000001,19.8
FJI,Fiji,2.0,896444.0,8702.975,28.6
FIN,Finland,688.0,5540718.0,40585.721,42.8
FRA,France,77741.0,65273512.0,38605.671,42.0
GAB,Gabon,70.0,2225728.0,16562.413,23.1
GMB,Gambia,132.0,2416664.0,1561.767,17.5
GEO,Georgia,3240.0,3989175.0,9745.079,38.7
DEU,Germany,60634.0,83783945.0,45229.245,46.6
GHA,Ghana,440.0,31072945.0,4227.63,21.1
GRC,Greece,5903.0,10423056.0,24574.382,45.3
GRD,Grenada,1.0,112519.0,13593.877,29.4
GTM,Guatemala,5785.0,17915567.0,7423.808000000001,22.9
GIN,Guinea,84.0,13132792.0,1998.9260000000002,19.0
GNB,Guinea-Bissau,46.0,1967998.0,1548.675,19.4
GUY,Guyana,177.0,786559.0,7435.047,26.3
HTI,Haiti,245.0,11402533.0,1653.1729999999998,24.3
HND,Honduras,3669.0,9904608.0,4541.795,24.9
HUN,Hungary,12832.0,9660350.0,26777.561,43.4
ISL,Iceland,29.0,341250.0,46482.958,37.3
IND,India,154823.0,1380004385.0,6426.674,28.2
IDN,Indonesia,31001.0,273523621.0,11188.743999999999,29.3
IRN,Iran,58256.0,83992953.0,19082.62,32.4
IRQ,Iraq,13091.0,40222503.0,15663.986,20.0
IRL,Ireland,3586.0,4937796.0,67335.293,38.7
ISR,Israel,5001.0,8655541.0,33132.32,30.6
ITA,Italy,90241.0,60461828.0,35220.084,47.9
JAM,Jamaica,355.0,2961161.0,8193.571,31.4
JPN,Japan,6172.0,126476458.0,39002.223,48.2
JOR,Jordan,4354.0,10203140.0,8337.49,23.2
KAZ,Kazakhstan,3119.0,18776707.0,24055.588,30.6
KEN,Kenya,1773.0,53771300.0,2993.028,20.0
KWT,Kuwait,962.0,4270563.0,65530.537000000004,33.7
KGZ,Kyrgyzstan,1420.0,6524191.0,3393.474,26.3
LVA,Latvia,1281.0,1886202.0,25063.846,43.9
LBN,Lebanon,3397.0,6825442.0,13367.565,31.1
LSO,Lesotho,178.0,2142252.0,2851.153,22.2
LBR,Liberia,84.0,5057677.0,752.788,19.2
LBY,Libya,1919.0,6871287.0,17881.509,29.0
LTU,Lithuania,2885.0,2722291.0,29524.265,43.5
LUX,Luxembourg,588.0,625976.0,94277.965,39.7
MDG,Madagascar,281.0,27691019.0,1416.44,19.6
MWI,Malawi,779.0,19129955.0,1095.042,18.1
MYS,Malaysia,826.0,32365998.0,26808.164,29.9
MDV,Maldives,54.0,540542.0,15183.616000000002,30.6
MLI,Mali,333.0,20250834.0,2014.306,16.4
MLT,Malta,273.0,441539.0,36513.323,42.4
MRT,Mauritania,425.0,4649660.0,3597.633,20.3
MUS,Mauritius,10.0,1271767.0,20292.745,37.4
MEX,Mexico,161240.0,128932753.0,17336.468999999997,29.3
MDA,Moldova,3497.0,4033963.0,5189.972,37.6
MNG,Mongolia,2.0,3278292.0,11840.846000000001,28.6
MNE,Montenegro,826.0,628062.0,16409.288,39.1
MAR,Morocco,8351.0,36910558.0,7485.013000000001,29.6
MOZ,Mozambique,427.0,31255435.0,1136.103,17.7
MMR,Myanmar,3163.0,54409794.0,5591.597,29.1
NAM,Namibia,364.0,2540916.0,9541.808,22.0
NPL,Nepal,2033.0,29136808.0,2442.804,25.0
NLD,Netherlands,14346.0,17134873.0,48472.545,43.2
NZL,New Zealand,25.0,4822233.0,36085.843,37.9
NIC,Nicaragua,170.0,6624554.0,5321.444,27.3
NER,Niger,164.0,24206636.0,926.0,15.1
NGA,Nigeria,1632.0,206139587.0,5338.454000000001,18.1
MKD,North Macedonia,2900.0,2083380.0,13111.214,39.1
NOR,Norway,582.0,5421242.0,64800.057,39.7
OMN,Oman,1532.0,5106622.0,37960.709,30.7
PAK,Pakistan,11886.0,220892331.0,5034.708,23.5
PSE,Palestine,1865.0,5101416.0,4449.898,20.4
PAN,Panama,5391.0,4314768.0,22267.037,29.7
PNG,Papua New Guinea,9.0,8947027.0,3823.1940000000004,22.6
PRY,Paraguay,2779.0,7132530.0,8827.01,26.5
PER,Peru,41538.0,32971846.0,12236.706,29.1
PHL,Philippines,10997.0,109581085.0,7599.188,25.2
POL,Poland,38344.0,37846605.0,27216.445,41.8
PRT,Portugal,13482.0,10196707.0,27936.896,46.2
QAT,Qatar,249.0,2881060.0,116935.6,31.9
ROU,Romania,18675.0,19237682.0,23313.199,43.0
RUS,Russia,74005.0,145934460.0,24765.953999999998,39.6
RWA,Rwanda,210.0,12952209.0,1854.211,20.3
LCA,Saint Lucia,18.0,183629.0,12951.839,34.9
VCT,Saint Vincent and the Grenadines,3.0,110947.0,10727.146,31.8
STP,Sao Tome and Principe,17.0,219161.0,3052.7140000000004,18.7
SAU,Saudi Arabia,6389.0,34813867.0,49045.41099999999,31.9
SEN,Senegal,659.0,16743930.0,2470.58,18.7
SRB,Serbia,4085.0,6804596.0,14048.881000000001,41.2
SYC,Seychelles,5.0,98340.0,26382.287,36.2
SLE,Sierra Leone,79.0,7976985.0,1390.3,19.1
SGP,Singapore,29.0,5850343.0,85535.383,42.4
SVK,Slovakia,4976.0,5459643.0,30155.152000000002,41.2
SVN,Slovenia,3580.0,2078932.0,31400.84,44.5
ZAF,South Africa,45605.0,59308690.0,12294.876,27.3
KOR,South Korea,1459.0,51269183.0,35938.373999999996,43.4
SSD,South Sudan,66.0,11193729.0,1569.888,19.2
ESP,Spain,60802.0,46754783.0,34272.36,45.5
LKA,Sri Lanka,339.0,21413250.0,11669.077,34.1
SDN,Sudan,1831.0,43849269.0,4466.5070000000005,19.7
SUR,Suriname,158.0,586634.0,13767.118999999999,29.6
SWE,Sweden,12028.0,10099270.0,46949.282999999996,41.0
CHE,Switzerland,9556.0,8654618.0,57410.166,43.1
TJK,Tajikistan,90.0,9537642.0,2896.913,23.3
TZA,Tanzania,21.0,59734213.0,2683.304,17.7
THA,Thailand,79.0,69799978.0,16277.671,40.1
TGO,Togo,79.0,8278737.0,1429.8129999999999,19.4
TTO,Trinidad and Tobago,135.0,1399491.0,28763.071,36.2
TUN,Tunisia,7048.0,11818618.0,10849.296999999999,32.7
TUR,Turkey,26467.0,84339067.0,25129.341,31.6
UGA,Uganda,327.0,45741000.0,1697.707,16.4
UKR,Ukraine,24429.0,43733759.0,7894.393,41.4
ARE,United Arab Emirates,888.0,9890400.0,67293.483,34.0
GBR,United Kingdom,110462.0,67886004.0,39753.244,40.8
USA,United States,455881.0,331002647.0,54225.445999999996,38.3
URY,Uruguay,476.0,3473727.0,20551.409,35.6
UZB,Uzbekistan,621.0,33469199.0,6253.104,28.2
VEN,Venezuela,1216.0,28435943.0,16745.022,29.0
VNM,Vietnam,35.0,97338583.0,6171.884,32.6
YEM,Yemen,615.0,29825968.0,1479.1470000000002,20.3
ZMB,Zambia,812.0,18383956.0,3689.2509999999997,17.7
ZWE,Zimbabwe,1288.0,14862927.0,1899.775,19.6
